puuid,rank
jB7URvK99I5zsiDvGVlsa5G4rdiadYGi1Jls-L1tjThCfhERUhA9-Gk_hw6cKZitds-b592iT6ODQQ,GOLD II
YzMlL62aViV-6LAR_RnwBl6q_LjdKRYcVHgSznXYGiFSEr57JAqTwag82CKtOaeyAQtVWpMzh4fFSA,SILVER I
vmc-c7mjyJmQKCA8d2-8v0L8JD5fP43olN3ydWzPK0h0Pjo7ka6xh0EiI7xutik9V8_mLc5nMlf7yA,SILVER I
527zCRoSEk2okAOAjPYMIbESySnLYBWYKGLTmWP6mJ3LBtZkfZLlXCNoViyitAabBVelNIjkHprDiQ,SILVER III
QIR7OVZ0nNIUD9f-5Aa6auawHgh5DJFHvVfA1KDHR798N-dJFfnC-kAbOcJ1dBLTz79upvh3VwGPnQ,SILVER IV
Ezmn60oRFMucCMiTgkm3LHn5HMHndo0cEdfY7Zukk2DJ3v8xgHJ0tgr-jF8SUsI6HM2WleDb45IY0Q,SILVER IV
SCBHmGQvKC7kObCDEZ7aqZ4H4O2XbS6FSzdeca7yQrxaV0IWygPY5oGd8QOWGhcB6JTgSHv8Q_DsxA,SILVER II
WHIxlP7zrR3Se6y9DeuqkV_168URzKGOFrO-BgJNAOm36Cp9SgrA8hD1VZcaSsfFsuak5bckH7GujQ,SILVER IV
h388ScrZygbe0MEICc8qpKgWx8l400xNFC5YQ6lUA2qiiPdgnxHyVB_3zEhDEr4GjNJoaykexkIKYg,SILVER III
YwDCc8kLst5cz8xqV24pJ9ixq03uorb9tCyJeyzhnmuuZ7xttNjkA4exQBJF51D4gcbz54jVj2-dZA,SILVER III
0cbC90F3qkddPS2timW3uuDblkmANdrJWViFMq2Vf4AOkDAZ_Iem3a0G5-3nwuXDE5zjUsfi8F8_qA,SILVER II
u3LRYZRoFw4Soj6gFUJ3m5aC1OkgJYsX8oofr0IceXgjzOdVyZRYaEEQUnqlqiBbHn8hEtrpeZ4Y_w,SILVER II
JYdbn2txrNgrqkjpQHQ-4Oz05iu4pT4Jxj8j5BOKmWsf_7X2gXx8SxsRVnF5YiJAso_An8l_aggSFw,SILVER III
lkm8WTeM5_j53bfsTDCb5-G6D9xJtiaJEPYoXbOAa2-6fNlByurdC9_zhX6wR7xEH-ocsMpDhU3Azg,SILVER I
BJvFkqZoyTyPXMKwf0A3ZPkBr4YoYWtr4Y7L466kAz4cayXIaziN0K3GfJnkgF-aEVoxPd9zlXo61w,SILVER II
D5a8f3B81DmwvnmZ1YrLklrh3115gNbJIRlsX6voREfNFyC4nolMW04QvssQW9aVRoCFJiP9PiF1qA,SILVER III
ove_W7y1mxduChTVtrCJPydRX8wkw7Fk2o6spbOGXHuOX0UAChaVEEU46nudv6IRZTBRiqnYnXLN8g,SILVER IV
2qqlr0gZWbS8gc1rjgz1m0gs-i-QQThiIivZPaKU1DY2xoVZbK534u59joxZ38th8yQPQY1NpPOotQ,SILVER III
2hktjPArK3OkMFcSe3JfeBOwnpT73E-cqDs-czVhFgskzyNu3KD3ipAfoRuyRMMkIhvx8zHdV3TttA,SILVER II
AfD_Y6l22wLsb3z3Un963veqEDBsSVhScnO5cEWxqIZF34Oh2iQGji6uWI3D7rDpVjdYVGds8uqm6A,SILVER II
tLDh_lxAA06wuGwlmluSNBgHRE8nIhKY5HBBTd--JCIwHb2L2eJWL0tJ8BQXk7SNgNM8Xo5orA-xAw,SILVER III
Vw-Wt3_S24GUoz1nTo53BDduolN3FFyIompJvbfU8U0ckptJrG9LbpaUcbqLKRT_I2XV9WgkYIwNkQ,SILVER I
GJIwQQMGG6272jOclviF0uqQZgdLb4XvViqadttL0L4dV-zBl_YbwKWLOFneoGbjSt4i-NKA068uZA,BRONZE I
wSXarxa8xURO72oUDAlfYaZ5h0uigRnhsUZyhCzKpq9-1Dw3lR4IYpCY8BiqMY3b440-XmapoM3ZZQ,BRONZE I
r34QlNlecxjH7wfqhxGYcPe5Bi02MoeqJVxKZyJBRDWH23_zYS1u-zofaFa3rX09XMbNtDrKwvnL_w,SILVER III
VZqjkjuCHIZ91634haBrUKytghZk4VrBHJCpJIPIDRd2_kGSN8rcDq76YDl5YxK9X1M7h2nmpQv4Vw,BRONZE II
O4vHnoQPnRLJAznVBFm9k_zzq94IQeRYpZkeJeDay2JWZLhAKwtTpXvP7EOmCyt6JhD2r9GL6L-_MQ,BRONZE I
X2-J2mgWK3ewzfFL6xn4gNy_T3uwnPkpNadLfbXq_kC_uy7Ww4RojQBfN-3SklMMDhmxtZdDcKgkHQ,BRONZE I
Mt6ZmA-1hP344ZZZp1ARSKLx65eq7qaZq2obZb94MyN8vm6ALJcyl8kkzceL-NTA9ECtTCyT5KGoMg,BRONZE I
z4Wxu24tyTi8L2vGNBE9QiAcHlE6wHKzIMTC3Aw26Ns8SjV2aadKx_DYcLW6mhkON4Yck961FhfJmQ,SILVER IV
3Cfh8OOLGOLw0CetnL6u2l9s7wfuhqzV2P1bMzZTBYUrYOiDTqS7SIoXBvz0cQ8vzPruceEBhoA7_A,GOLD III
AZxNkiIkI37rC2MxloFMnXyZfQQaDcFIjfLmzG2CH1GxBBKC7AdpCSULbMSZw0t4P7Btd0xKMJJHZA,GOLD IV
RIHIulGJkoW9FYwL2XeCtraVG1V6pifLBLBzgtgn9eIQnERLcTcaspHWDG_xR19762OGmhGCVvNROA,SILVER I
bTLeqqvLL32gyZ4nOBnTYLgZXndWru-jB3YlWEPIBdd-2SBrk2Q6PUDTswpEl5non8uNU1iPfS-NKQ,GOLD III
pqWeV1YHK84f3xZcU3DIm-X4Dn8KFWk9VgDdQLZ3lxlw6nO4Ta17wleCWILb-ABiSpl-NAFkRggCeQ,GOLD IV
6LbkEIxGDmPR-F16ryCtGKMOmVDVf-a5fPWG3312UGspwcEngEs5OtY89f5MhiZZZTrAWSdTjAnZ8A,GOLD II
45PcIWupr9VW8YO9ns8RTaKAo8J7A_WLTU2z82cPEdozTLAZHp66V7VzUv2ajyo05OoygDYcGuRJeg,GOLD IV
7K_A5Gq6WfMUdRPgYI80JOViYB7u463Orx_owIYNXV-NGu5f2hAC6gjA76B0lH0eRsGTaVBcanBIlg,GOLD IV
xEOFZfetQ__sYucx68Fv2MLPTCbDqK81EvzJSYp1fz4MEjFaflwGv3kkk2eVDEKEa3fcUHUm9ai3jw,SILVER IV
GpjkaA_JlpzmJJaVqZkwPQsZ_k8bvsoKW-SJxUp0O1Niv_LVb_Xu_XHfmtyajzJDOYQYm3LKmEpAyg,GOLD IV
qzO3xh5xYMX0rRE4VVtMfObG-JieMO3JNP5FwBHOHkmCEdHfKlPx8-gBet006kY6-ENADvPngVQlig,GOLD IV
oVO3uQZc5GtUdOpdB3Z3NG6qY2Gs1UkTZQncOeDakdPO71YcGOUO_ZmY-U6keojwXSxpkZX8PX-lIA,SILVER II
DMqbwUHagr-bxNooUcbC1Oz_TGd5LPz1Zsj_Sg6s74IO6zwDYrE6hl9KfUSJVvaNIY1RjAyB7tQJiw,SILVER I
kqMz32FaZ-YGNn8ZLlc3VOjxUOBIne81vF2G5u__cUoFjHY0F5M7MM17XK6y8ANNnNUVVl08tFSvVg,SILVER I
0trH6NHDyAAMKVToJHSJsyKEqlPB9RVX3rgGCGa489FtgllVaGqVr2pd7d74BljUyiP-nnCXX4zdgw,GOLD IV
JjAbB4PxUSDo0nujeKg6XEkTCCjwAhUOUoLUDNcV0_yRhuK7VnCEa6Yj_APlU9JFVqKJSJroccCXgw,SILVER II
yWeXcm_kn1trI5FVmhV281IJi1hfabqIyFAelKdb5AIALoJn6ErRnaH5ckh2ebyEBmtVhT3McpYyCQ,SILVER III
Rg9BaoHkOI5E2Y4_ysaZpHPNKGGpzoLS49prtwhIl_ZEi_ZAxpOjEN6QEnkcXMND00Ah59hT6gislQ,SILVER I
Wc1RzG1WT9hrbUyJWGnBRbxfGiA3Hopqmuye4iGJ0PdhrYukdRU97H4RrjrOt-8qLjiD6qfIa5QKag,SILVER II
IfpfwJH0YgpuEIMczN72zdANVo4DRMVptnuYcc3HQJM1uDyZsvBNuw2M1HGeet1q_Dblxoe5CmZSvw,GOLD IV
zXed3b2DNtDvcLfW7esQMHJsztuYk_ksBF_i9BPUIbpFAg0TGASBlQh4EBWvvid8TyaLx24XFGfmhA,SILVER I
bS2saVfxwsvaxCqcwpGvRpQeRuEAwwFzGoITWv7ZH56IVXcWwSW7T4QKZbYJlr4GAdZorPRpioW7Gg,SILVER II
_xkPy_HlT_-1KA9Z4ojD_cABqL4NYk3qOf2WH-x3Hn00hpzMDrkNt1-tDBa5hnG8h4DTvSGwnU6Sgw,SILVER II
9xzBQX2RdhmIn7j_STn-oFZlXpWDgZXDrVbb8fbrEvMnOhklrKjR_bAco6wyGGZyrj6AjeMNavkvRg,SILVER IV
Gr6ZAEQ6NGoXbWh1mRSOnKlOfWx-2anjW1j5Ntzo0psZT0HSTcL0vTYewFvvZ-beBATLaGsp20K0Zw,SILVER IV
THWdNmk0RHxh0JphQYC1zb_997tc81c2-_VxVHU7eI6cWFwqKQ9DaAsYS3KA_IDeSimNo1WQN2yd4w,SILVER IV
VeBIBcOoj42vp57ltk74bQkg0vaMytptf5foLh1c8lDA4RT60b--kbC3PbmVOCZtB7TwxwD6MIvm5Q,SILVER IV
m1eMRaDXuAfxVquoJJOHfDuqEogixmLhBQGgNdduuZZTvLJATiZJf1-tvuXFCivi1g4DQiukZq_NDg,SILVER I
43bB8AR766esv1Gcd6QPfu2jPEKdgrIoEoxe5yw5p6CHzioohDfbao2JXMbPT7CRFLGpF-MDNUd9UA,GOLD IV
a8N3Nu7RvQTaRviXj7LirRMMl6dTRk00MLrqqhJ_ogBpG3hSqCJPhEDahWxEzLq5tA9qlygKqlGxaw,SILVER IV
-c_SZol2IFNMclBJsyj7daePyNBwfLuHwdi2k0dP3WhQkkK02k41Gv1o2mlYYHTt3OsGLCo86WNTng,SILVER I
ysNGxBM4_WGPhl_4dusEQXfDzUiFHrDCN795Lmwz6WqxIPArPD-r_Sk_WAsVwzCV8qUmdj0PQPhi4w,SILVER II
60tuJH36SC1YSbWHp5ZVrJ4g5DRWhvdtFJEJK8eykHr5-0uXmDTJ8pvlUy52o5ZctKCqpyjYpmrrug,SILVER I
uy04dVdPX1iXXJp_ql2P1egvFi_NKTMbIYwxRZippMTTv_UZvbNk0bUSCjCCswRgxJzTgGsoL-8b2g,GOLD IV
0nbVXRvvel0ni5Pd0_1_VqfSiQM7LMTS2KealD_5ufqTzqb_G_mefxxApn58JPBpwb-S9ruvRTd9sg,GOLD IV
S45vf-16xCJ_47je9sM5zi_DaYZzXfIf_jXgGpKxeSNy0bISs4_shd3E8yEgV_RP6QY03fNXG1OmpA,GOLD III
xOmN__KswjeuzDaELEO-Xki-OaJhzqKIziRv3skV_uDeC1xIvGooC0si3tFycfi5ADgqNnFoM7OMwA,SILVER IV
rGFfpFFtihUUrB_peHZFSVIF6TX2NoUtVI-SjRlC69jNVos9sDCL_KWvjYaxDLYxfpzbwk_yeyf9HQ,GOLD IV
TACrZECLKvuAxraIrQ4iOGjUewzdKVRrbc0uR5hjWBZPBASyxY8kH2m4j8dEglVuq1UujRJYqCUOpw,GOLD IV
Ko_V4NuZ8OMEhF6kjfDXNjtA2qYcc4kIZ0HgvAgP0qw_tiqbhzejTjS2j6bnbMC0Zt15_1YkHijx6w,GOLD IV
9-QGL2RrNaB3nuF_YJLDb0hpyetQLotF0Mq8gV4wHdR0twJbE_jYMHVdC9Y7kAxmkID_pHaUy4veAg,GOLD III
73ssNzYmBr9DxzkTRBMjCxtokcADUNsQ1lxYQMNK9yTJ2X8sUethYw0aXiZoOHplHGPlFtSsgVamNg,SILVER I
TzYDTiBd3OlVtgai-qDBVY7dSVCSejKJi5SQ23ukr5033hyeYVN71FHHM4lq-wu4bL4P0uaaSdN-ZA,GOLD IV
QH3f0VG4w3Tn8CL5kEw_PilISFusUnh0gXqV6PSEW8ZCKTg4aStrNRjM1kk86tuiR6StC4w1_xRnjQ,SILVER I
R3FjPAx30t7fz5qiuFWtiTglWG1TIHLsoFnEF8253c1qpHMcaNcLXF0WPi4p9Ulmu1xztls4spXDPQ,GOLD IV
8ONUfc09xHm4QNOR8MLoyS-YebR4Rrr_qs3wnv_0XfZYbtaCVVSTml4SBGj0O_bz4hXg4UQS13fJ2A,SILVER I
Jr60bZH_rq5KQQEpRj6o-LdPGgID1AOE_-duHcMb9MlDyvu_nCNs8UGPRhTKknj2dmx2HgsXrsZyqA,GOLD III
3_6fNTNsR9mjgSRBKjdGpabyxjjs3cXqzc_JTQWd0kyUAV3V73611e3FruXZy23_BZd5P9lae-hRlw,SILVER I
O7NxT9cGtR3pLjZnUeOIcA5nnaK0oNM1ccTaM8qvnIxoCnDm8RHGd90raRhxbN28TccDVnUt7iHWIQ,SILVER IV
ntAJ3TGhi1ll2SlRVjzGqkasY5tP5kH58rra9MB1xsyYfXuI4Nc5Aqi7Tb5CppRn7SdJRncBw5L-NQ,SILVER IV
giYuRFrosfRCVFMiP0jT1wG6JQ9-b7pFekRqikxiMNYfgffppEMfjvQw-Kn2uCGxhB0BA1IQNuFG-Q,BRONZE I
lr0Iy98SxeAOAxKd6JV6dLwCKrQmEvuYv_chd9zzYlAh2Xw_8REPYjq4Uw3EIehqZOXsyJHewe4edg,BRONZE III
vFzacO5LxVxbT1UHGO8HQs-bs1OgqjszcFCBetMfH2YNew6-569ds7fCmysTuG4Y9UiBMSK8wCWaRw,BRONZE I
cY0opLAIgbY4QcVw5rwWicvrwsZj59LTxqAQglNLmpC-m2vUXOryXvV4lNzbnye7_nNF9JCoeI1AIw,SILVER III
zOIrXsypEpbQ5eGRo05T7igOuO2wI-pKfmN_sZxKhq8kjWC25nNNgGx03PhB4HVEJEkOZYabAR13dQ,SILVER IV
JvnsQ3lc1oqXDneQZ69GIilOvQR8VxlEixfxOygUbR_5zLwJ16M2ldRUjmgOVwXf4ZWQBgOvKVqfQQ,SILVER IV
N8I2UGrnbTVBr3ym5dK8tHnfd8gLagWTr9pO1u8-us5ZNA7wOrLdyjCI52Sa30tq_b0TNW2ITFammA,SILVER III
vnsf7ylDXzkvhQM7KVM_EOh6yLdXFWOfkR6VgP09hXj2yHjt9Pea2u-q1Bz5iK257_HTs7KCHkxSjg,SILVER III
m3p4_EqoZt0eoxhXPc0OZrsVMfsHS2RA1Hbnp5nFzkf2GstHOFFbOnQ2wUWWLH1exUAjmc3XHWw7yg,SILVER II
tw1LQ1BK6QWNZP-IARI_gxXndY8qwHHTUzXxs-tvYNxtXd8Pgt6Hm-9ZrDNnkVim_LQguVfRxxKPvQ,GOLD IV
2dOsoEShAIftQAyobnVJM8F5t2cIdw4oCvt_c_lUhN1tJtT2TDC5JTxTpiOT8Sd0hZNtfwBfAUthkw,GOLD III
rS6j2QQlOL5SWAXJUqY1f_h9hDLRLYg2jQR1F_pXEHeWd4xYGgM6gdm0EBBcoBK4QPR7GEj6Np6FLQ,SILVER I
ZlFKI0fGEt7wyvh2jMZDRtriwVGIcHN211G6Dpd6BERe_H9xTGlK8J3MvJoHh1wIFTzdLMF_krcocw,GOLD IV
6QDHP_YOdtJxnEsxSymbkKFS_oTo5dswvqQxiG6PiRCk8VKj6MRBvWkiBBO-UILNCCz3IJYT5FzzHw,GOLD III
z8NPGXEok8i9aW6ENcQdOUjfNv04qKDRVHDZ_6x3rJqkzsgF5UA0x4AJEBxU5N7Ptvz4DjmsWOALzg,GOLD IV
xn-Onw1OZV3j1b4xRm2DbnkOxGMBwX0DUFdGiQP3tC_QGrWXmSrYRckMhC2aNmgHce2dufRKDxSLVA,GOLD IV
nlUe3HJpgg00QfmrfT1LRMP-6fncUKCoWoXmbI-NV336iM_1Q4h2wz7hfgSN7v8q7mRqMiBu_KNMKA,GOLD IV
ApWP0ifrw7kpEN98D43dpIp_64HTYBbGTuO82ZKOv0RkaSaVyqjVJUv1ZQz90UOr1ofoQhYtvpH0mQ,GOLD IV
bHl_QL_qiNWpP4kd2lAiewcfiBpaX7t0eNuDnthX8bCe0F-JEjKFihx3-y5smA_ysaxMfvJWBMIV9g,GOLD III
R0jdW5S8vJ1f90S3KtBoMES1yVxbBbxSOOE1aDm8WF6EN1xzkrT7nC9sF5gxZDiz_uIVAYp4uVp6og,GOLD III
j2U908VgAcESt9-zB6bbuv_1f96Br2Zs78I5V7yWKKDOSC2a_J0DV5CDJILMLadZt1RALQBzRPdAwA,GOLD IV
VSJ3l_Cdiyes65r3x5mF78C9VaYDoQjCvbDWZRrywH46X9_q-eDF5FQdr8oMSAl8ixeZbuIvAiW1BA,GOLD II
XkGdousgkxm24DdkleJ16t-TEzaLioz1nVGZOeK4zPdCfnWseWnpJnxPWXz_FyPyEORxq2fv6cBGyA,GOLD II
8OHPTPIVFTrvV_n0-PaEb57KWt9bQwtjhXp9bPlErm6gFIy6P6mujFZEY7OxhcxGK5TS2O7_Rt6Anw,BRONZE I
C0A2Ektqn3cWq_ME1q6QjvPfL1hyY0jqJPNQWuU4PjpJucpX-c_eh8-qGY5e7MS2FGj5ZrJfdHCzWw,GOLD III
kTCgDmpI7dZxnhjYsrVt0zmNkjhbHRWnr3Z5CaLaiie80pR1LeaLFQ0OOCuM4aKS59PRajn2EmDdKA,GOLD II
LqrzO0CyUdUIKt3qXmSE6ov_lyr52120UAXaNKYUEZTM1aC-eNBFkIWSOqSDMdOSH4_KaXZHNZN1lQ,SILVER III
LlnL58bn8QKV5Bc9lG4UHZkFWUUl4D7dUql0aE_3yQz2ygFOWo1iFasA9sjTAntvYi2BzemuKl93Jg,SILVER I
HwV3dc6JMX7p_MXeZft4YHTRHZtjpFUDl1QcjM3RefrziGIIfl9Ah7WxE7ZMUvtZTNruD3_S7QO6Jw,BRONZE I
muu65JPsST851oMciJUyzLxOr3OL0mHDQClToYYN59JKg0w-gWEFEoILajHXsKeWUANbBGvoh1eLlg,SILVER IV
eDfyKAWpbWNOBcvHRgy9aGlJzKMkiIK4UheGWibEAYaXDB8i2XGJQy2-3jFVLUrnLuHeo3ry90QeoA,SILVER IV
aGdkgitm2WVEQYzdC2AK8icLFAMUfvxjKzqN9O_-aEaByeN7Z0-lr8UW_i8veMk7QFe3BAXNLysDsA,SILVER III
FUkZ9M4nZJJT9oZY_8UCtWAqmH8rBRAt7ATubDftPIFaIwYiZEF6UPK5dLvdthpW7tRX5YKSrgj9bQ,SILVER II
8msOUI1ecvRRFQs-hcyBjYTZlvDSoLJu-Absgedlo0uFfT1C4H_3N7r2bEL9ZLi-OGUdMuKmoV-DsQ,SILVER III
ykZnp-OMSRU2pmvHVdo2cbR1GaT1383YaPSQgM_zk0n669RFw-8ANXzsmB9AkbgFAcC7SWFMrpRlpQ,SILVER I
PZR93SFbaHx6KfNUZQF0bX0c5eLPNGypyXZsdyEVexYANNVJMwsXMhgrtz8pc46LOwu0RHAylYwjDA,SILVER I
bPFZWXCZtcLF69j6fGE8AqdkG9TTA1Uy3kfEyUqXvloSOjdq3bCiuNsHf7BBaQ-QwA0Wb2XwR8vXUA,SILVER I
oGeyeM_B88UtBBtww3Txe92xNsYHr2-5CcbxZ1LwKEI4NzUIC4F3qE4my_LzWGOxl_qpiayZekdD-g,SILVER II
lbk3Rg5TO3oKkhz_G8GruQ47OWzYOF9mKasqpnOTiDSBvlGioWjH9WsS8pnXx3Mrp44fMALcm6RzNQ,SILVER IV
U8MjkMJF9tSltgJmhWTObCppXdL3jG9ZxJNXK9ZiGJcVl-2hxyTnk36AxZkLYOR_TjXDP91J6TIIdA,SILVER I
vCae8ou6vLHJJCgu2WsqzhXGzZM8QhwfHASlsRhbjbH3Vmk2B2SLF6CAWy7mMC_uWbsJDf3ronqUGQ,GOLD IV
x5Qx9-EZ2ohzgh4giaBfbwgYv1egirym3vzzlqnKMtPnPIAb_8mPEkivl5VXXY3Ce014ypYJCavcbQ,SILVER IV
tOQVrk0jCfQ-verSUwxNWbmyXXBMQJKliHBcv22jV0zrKCmbCfMLSJ2PfC0KnwNgtIVjKtLuSJW69A,SILVER II
TZ5aIGk2H6KdB5SL0pslkIwy8vMnA86Zcb8B1cYIGGCt0KwlplF_PxaMpZ4eQp0f1ZvNB_tUtX7Ylg,SILVER II
q4y4_V3UKtEg8MH63uMlRy5yER4JFghTYEVtqJfUm8n9R9XSI0Y5BiV1mGbUl69kDK2uPmYIzhwuBA,SILVER II
CfqXB6dbNL4vOErPhwJlwAAeJgakJe7rQ7mk_K7XYLQTf3Dv1gKUgLc3auAztm8H5-klwuNVjQzTQQ,SILVER II
0csI8T4SpmfIy-5s9pmU5QT3KTm-Dfe_zHP9Rc-qV7kxaGdy3b73r6Bi6LlTA39coQY3IuhyL9K55A,GOLD IV
pttqjtXCXEcrP-aqsAthcWys1eJ-F3i1517wTnbEM8O5pasaM0rfPYMofWhfuXEGGsEmGcFFngdE-w,GOLD IV
yV2j-fACLNBZuyZkO2wdzzSvLA4qa-HxLLj-nHgKoj5tuvBm3FkPHrAFFLx55CFA4nk93fjIu6-4Vw,SILVER II
o3wNtjiJ__p34ZZZ6tX-1AAkEOUIjKtzW7FTcL5ec9IvbnenaG8BhNG0uOxT_QAimL7nGI7fUmiBjg,SILVER II
KCzi_6FeH-3nPk9VsdiyWG--TfaW6W1HJQqou-KT6xF37bNtZk9KPg2ibrB0y7bfFxgAtkIZtprvTQ,SILVER IV
gW1Xd79pSx9Q1pYjaK36S8L0ti_0tka6BqidcPXNWzNPChkH_jDt0huyP8TA8XfnZYeM7VEGQ7RsCA,SILVER IV
m1vWJK0i92RbpHf0RG26Py1WmQ3OSAtzCftVQSm1M5TA5GZ7v4PrtduxyFS6W5EhYnDg6oc3zT64mw,SILVER IV
hsQuEBN35nvCbCvDJlSomDRY4Top8fk860sKHyjemUwZn316AdHBLfrFAKgCXDX4vRhwBX8M-V7KFQ,GOLD IV
Kk8Xl3YLN6z_WmFjDE_8DjIvp_IkG4y2T07cp0ZQXHHWlvlhL9HdmKQOZ3y6t7AeCaGVSxeq3aUP7A,SILVER III
G2CncKSqwEQ5J_s5wo8RpwFi59v91CJUeS5xhBde_v7HSzTJV5XDZIlPUgddseI0CTmJKCU1H9nUZg,GOLD IV
oXcw35HFMHUw6kthb8YbIXCw9XaR8ZsVu2B-1NwYvdw8cJ-xY_qERw9jp1_PlYzN9gqzIJm1nSgTrA,BRONZE IV
_Hu3RbGfGhNVS9S1dvpZCykAt-rGWsSz7iuCuUrmURVOpC-h3DEvPvaldsc1RLSdktjUzyj9wpl5ow,GOLD IV
nKOnHuMYrb3koqY4FPf90y9JQRCAmEkabJ4hnZaQqEZbKGgvyAmQVte9A2QiMd2bt00S9QrJFDgDng,SILVER IV
ZWZLdI1D4-0hfJNxy_brQLpcc7-NitYChIA4ir8VBnXM5CYoSrSjQ2-9gNw8KOaSVlNhUy3XgcrPsQ,GOLD IV
wTVfIA2w9Y59XV78M_q2rFvAQps4zeHKoVVwauXeHsnDbSBX4mKeggFaspYusSK4gQYigWDkzDvslw,SILVER II
c042knIJlx5d8Ub5sksokgsIsl4HzJusFCksVnZedDfh5MkkYruY-GyhZcANokMmf3zvfTCH-fwvPg,SILVER I
UeUM-M75Mz9CPBnXF5cs66PrdYhQUa3WwICp7yOKSTnLuWl6SvdAC-qH_VYdSRoy8WFi3_P0v7cXog,SILVER II
s3kngowjVEc6UPq9q7JosxhySGfQjKmPSZdAuBxwk5pwRjgTTYIsdyBX6I5aNIvImeewrlRbxKO7Iw,GOLD IV
DJ9ZXTdMCWK8QsmYMzxqxzqNdFTUyD9kPQ6YMWK03TjBS0YVtAGHqXmukOKbvqETXSIkBxYQB8mYBg,GOLD IV
Zd-ZnHAgYCLXFgejH_T1bTe9mI36sfKcoEaCQEg0uId_ENVgHIk2CzDXMzJRWWrJrxbRxYANKa6q4A,SILVER II
zSQjQ4MlgSUQ5tfGuJFjigK8ssWXPeQRc8Y7MM2QMQfz1kSULA0bLFQ66iqvBKdfGz0G_71HKObfyw,SILVER III
bjobuaYxP5s0sHour4YhrbUv0iCM_E5i7sObt8N_jXMdWjKcJpCipxJkhzI6M9ft18TPaaKun4TBbg,GOLD IV
KYr1ysKuYK-_r8uk5jmA89J-ApEURaN7uYdVpBViGcqTxz17hxi6yFkqTvSpo-Y8gSmz_JLKTtO78A,GOLD IV
RSbYqCja0Rgb--h5M7C8PV9SZwFGmZdHWea_IEAmdI2WGYK7NdNb3bRy5CYZbk8o8rbnN5EZ8MqP0A,BRONZE I
n_BSHlbaLH_XQS7_0BUpTAkvSy-bqm0t8jI9Mh0XbogCWkHfbN26ZKFLLiHfe2993dI28ewjy3EGCQ,GOLD III
DaTnQV6HF1CyVwQGB77OkfQQsXJ_HBhMgqnFqdFlkX_z2Y3FR5clvKgz_FaZCe68iE3v5_mi9g5oQw,GOLD IV
DyvD2do_ov3w_na9KKrtDVl9k15-usTA83gRW6_quzKt5zoEvQYutBWjdJDUZocPLtUyygdRag6TgQ,GOLD IV
sg4aLjuNUM-hYBkARu6QD1WjTaO8tjz9ioxLWMxfRt9XRCLTcAaAdP7vfekaIhZFh-sN4A71bAv8mg,SILVER I
0-RS-WBHE0o87h_3ZNsQRV4yHWWwbJKxiBwfk1X_FKerMfzQSgBpzIM5gwC-BvVLwn6UkVcRcsT4Ug,GOLD III
3zDUgdruZX8mXMG6PXV9qpUAulZXzxUo3rw5dVhBJr8yLryV6hqRx50jkSkfOsA-By-b81ETvSrUiw,GOLD IV
H8EeN839yqt0Xf7THiuIdubuj_1koSXg0XTzVScjApVptcO5XyjqMsc_CRSqXGQx7DtXDJ9dahJtXQ,SILVER II
jaWDeSrTwKiPhnA88JbBh1sJIFW0lpbRJTJJRQQAF3nwqEcsV44QBZ-OPhkDf-eOCvMm4FqoNO8H2A,SILVER I
nbsWDbZ_Ba8Eq8seQKIYJiav3PwvNLtNPuop8USckxim79gy8JNdoP8cqqx9W3hz8lVQ7iazgzfgmw,SILVER II
BYcglB0C2y1yT_I-4P0w9x-4GxtqgoiD3-FkoLppUoGzZqhifd9zACMsbVtBcHzXfgbMpP9BTi0CFA,GOLD III
4O4NPmRoKc9K9x-Equ1SSJmWlKRVDL7FE76qtFQ0NQuzR6fmUfgrqqMkFU-9KC8KkHlvm3Ghb4Ux1g,SILVER III
I1ALMizCfMlk9Fyofv_NP1idnaiIwXMx64vPHjDZtYK9hYeDF_brThgsWwtXDMLAp3BadEq3VPIShQ,SILVER I
qJajhwUWIGPFgKttHU6zyAddqZEvjvO7SLVcLelXL40hBh28kcF0BEdp0ohibQLX5nzzd_cQTwe6Fg,SILVER II
sPmWrLrqh0LIRtEruyylrGfOF-hfpdAnJRJec0Bk0X3ur3vBIXW8bW_m8gmiIh8-qlQiotp7Dh-MqA,GOLD II
fB6jLB6SZ-rLThGnxUyjiDfeZ2otBnE8w-V7S_Cu93LqycX9ltT11f_lnebrmEbASMPwLlT12SzgJQ,SILVER III
rSDnyygWW9M2XS-0dmroYPXLqfqVOyOqJ73Lm1rXssm3HTn1YhirD8vENa3Rx14nqKmYdr06t3De0w,GOLD IV
Pdy-LPUx5MdQzyblVzGcW0f3q3Wtd0Iqs82HnkpKkNq0n0Q1uH7UguVxmP441Ez4wVRxTI8oYlrr4w,SILVER II
ZKKLHEL4XsMPDPFYLyBK65PJvhVBNo2-B90HoQDg3iECORkaZlIJ_Km1tktPrEnjTmU8BZQkNrX6NQ,SILVER I
c-m5xeTt0VK0OWP8gGSwHfBM9zhz_McZR61KODt1tc2GAIHYgTZC12xZXFACCXK0PDHa9TN0P7eWjg,SILVER III
jl-IMiS7BcGat1a5T50qQT6x9iObxRBIfBtntRhQ8FM5zEcOCT0rlYUji-0pB5lgHI4d_N8xWKP_iA,GOLD IV
